,GOLD Analysis Project ID
0,Ga0026756
1,Ga0246665
2,Ga0233425
3,Ga0208790
4,Ga0207582
5,Ga0207449
6,Ga0453188
7,Ga0209826
8,Ga0428106
9,Ga0120811
10,Ga0233359
11,Ga0111366
12,Ga0023017
13,Ga0243760
14,Ga0494464
15,Ga0455818
16,Ga0118457
17,Ga0302228
18,Ga0496077
19,Ga0118294
20,Ga0484738
21,Ga0436556
22,Ga0494750
23,Ga0157288
24,Ga0400333
25,Ga0245139
26,Ga0167638
27,Ga0157325
28,Ga0376042
29,Ga0008892
30,Ga0207546
31,Ga0007188
32,Ga0117993
33,Ga0456079
34,Ga0308315
35,Ga0169859
36,Ga0498753
37,Ga0207467
38,Ga0334848
39,Ga0373463
40,Ga0120822
41,Ga0209398
42,Ga0133743
43,Ga0058728
44,Ga0257175
45,Ga0495465
46,Ga0160435
47,Ga0394429
48,Ga0484698
49,Ga0211508
50,Ga0041903
51,Ga0169711
52,Ga0453145
53,Ga0111464
54,Ga0070752
55,Ga0392394
56,Ga0121637
57,Ga0334884
58,Ga0118618
59,Ga0325404
60,Ga0450907
61,Ga0484808
62,Ga0008875
63,Ga0302055
64,Ga0211503
65,Ga0373488
66,Ga0456146
67,Ga0075023
68,Ga0182132
69,Ga0122190
70,Ga0501123
71,Ga0428343
72,Ga0194116
73,Ga0000806
74,Ga0310907
75,Ga0209556
76,Ga0466389
77,Ga0315899
78,Ga0486829
79,Ga0211523
80,Ga0121512
81,Ga0120128
82,Ga0182190
83,Ga0244137
84,Ga0121579
85,Ga0133747
86,Ga0213917
87,Ga0100375
88,Ga0026784
89,Ga0121663
90,Ga0238632
91,Ga0208743
92,Ga0116115
93,Ga0193989
94,Ga0236717
95,Ga0208021
96,Ga0450803
97,Ga0335279
98,Ga0105889
99,Ga0497537
100,Ga0245235
101,Ga0208985
102,Ga0010945
103,Ga0208086
104,Ga0245670
105,Ga0395807
106,Ga0008465
107,Ga0131744
108,Ga0494148
109,Ga0209621
110,Ga0058708
111,Ga0482242
112,Ga0495643
113,Ga0209673
114,Ga0099372
115,Ga0495494
116,Ga0209061
117,Ga0497397
118,Ga0334987
119,Ga0454604
120,Ga0208197
121,Ga0306918
122,Ga0134619
123,Ga0003591
124,Ga0163219
125,Ga0450801
126,Ga0376076
127,Ga0453127
128,Ga0135167
129,Ga0210101
130,Ga0207758
131,Ga0100226
132,Ga0228608
133,Ga0210088
134,Ga0098042
135,Ga0453174
136,Ga0071330
137,Ga0392383
138,Ga0256383
139,Ga0066427
140,Ga0007849
141,Ga0428454
142,Ga0118527
143,Ga0485173
144,Ga0160478
145,Ga0117856
146,Ga0208619
147,Ga0466979
148,Ga0526455
149,Ga0210242
150,Ga0450755
151,Ga0209064
152,Ga0181527
153,Ga0208464
154,Ga0453695
155,Ga0243931
156,Ga0497336
157,Ga0066903
158,Ga0153962
159,Ga0167639
160,Ga0105891
161,Ga0055449
162,Ga0395680
163,Ga0272447
164,Ga0207889
165,Ga0164304
166,Ga0168577
167,Ga0334768
168,Ga0181582
169,Ga0102918
170,Ga0393869
171,Ga0121003
172,Ga0194040
173,Ga0114084
174,Ga0122863
175,Ga0400239
176,Ga0453222
177,Ga0167480
178,Ga0003868
179,Ga0394029
180,Ga0121527
181,Ga0373913
182,Ga0008890
183,Ga0370510
184,Ga0233443
185,Ga0119825
186,Ga0119990
187,Ga0494423
188,Ga0244136
189,Ga0495439
190,Ga0491432
191,Ga0502774
192,Ga0120004
193,Ga0428462
194,Ga0238599
195,Ga0302236
196,Ga0114922
197,Ga0208137
198,Ga0453955
199,Ga0003871
200,Ga0211530
201,Ga0006045
202,Ga0208091
203,Ga0118609
204,Ga0187805
205,Ga0316601
206,Ga0111364
207,Ga0496926
208,Ga0242705
209,Ga0120330
210,Ga0007788
211,Ga0428192
212,Ga0302203
213,Ga0208092
214,Ga0450895
215,Ga0245638
216,Ga0453157
217,Ga0058704
218,Ga0364936
219,Ga0114254
220,Ga0116189
221,Ga0075319
222,Ga0003843
223,Ga0208575
224,Ga0008643
225,Ga0506522
226,Ga0239370
227,Ga0116158
228,Ga0118166
229,Ga0247781
230,Ga0307446
231,Ga0121728
232,Ga0436574
233,Ga0007861
234,Ga0111422
235,Ga0455946
236,Ga0207747
237,Ga0210145
238,Ga0395819
239,Ga0182207
240,Ga0315276
241,Ga0500018
242,Ga0193994
243,Ga0315903
244,Ga0207963
245,Ga0467037
246,Ga0004444
247,Ga0075465
248,Ga0209453
249,Ga0315282
250,Ga0000761
251,Ga0302309
252,Ga0120013
253,Ga0209625
254,Ga0242368
255,Ga0066460
256,Ga0495343
257,Ga0118050
258,Ga0118337
259,Ga0245640
260,Ga0247058
261,Ga0121604
262,Ga0451317
263,Ga0243734
264,Ga0101874
265,Ga0114255
266,Ga0168694
267,Ga0100234
268,Ga0334844
269,Ga0335031
270,Ga0455836
271,Ga0026188
272,Ga0501113
273,Ga0181460
274,Ga0172366
275,Ga0268246
276,Ga0066673
277,Ga0207972
278,Ga0121522
279,Ga0003636
280,Ga0105243
281,Ga0455832
282,Ga0395814
283,Ga0450890
284,Ga0496985
285,Ga0207909
286,Ga0453707
287,Ga0496600
288,Ga0494502
289,Ga0397549
290,Ga0310841
291,Ga0182163
292,Ga0115604
293,Ga0244165
294,Ga0454608
295,Ga0318575
296,Ga0334943
297,Ga0183718
298,Ga0451640
299,Ga0182220
300,Ga0001935
301,Ga0207856
302,Ga0243903
303,Ga0392283
304,Ga0401339
305,Ga0208523
306,Ga0117844
307,Ga0075324
308,Ga0169199
309,Ga0066180
310,Ga0326640
311,Ga0247784
312,Ga0120849
313,Ga0451680
314,Ga0208755
315,Ga0373641
316,Ga0075526
317,Ga0209412
318,Ga0495478
319,Ga0466969
320,Ga0247822
321,Ga0257166
322,Ga0247050
323,Ga0455693
324,Ga0004146
325,Ga0311337
326,Ga0435305
327,Ga0099387
328,Ga0208556
329,Ga0209020
330,Ga0190307
331,Ga0070727
332,Ga0217535
333,Ga0207883
334,Ga0001949
335,Ga0466290
336,Ga0210001
337,Ga0466982
338,Ga0207796
339,Ga0120009
340,Ga0247811
341,Ga0496644
342,Ga0501032
343,Ga0211598
344,Ga0135162
345,Ga0208498
346,Ga0233365
347,Ga0208541
348,Ga0114902
349,Ga0308406
350,Ga0026413
351,Ga0213841
352,Ga0011697
353,Ga0207871
354,Ga0482198
355,Ga0257123
356,Ga0214255
357,Ga0207662
358,Ga0169616
359,Ga0075313
360,Ga0070725
361,Ga0114371
362,Ga0233367
363,Ga0245036
364,Ga0428165
365,Ga0135170
366,Ga0233386
367,Ga0316210
368,Ga0210046
369,Ga0211473
370,Ga0500000
371,Ga0467080
372,Ga0120887
373,Ga0497535
374,Ga0102731
375,Ga0307996
376,Ga0428488
377,Ga0454681
378,Ga0120156
379,Ga0494479
380,Ga0209636
381,Ga0104150
382,Ga0455989
383,Ga0209729
384,Ga0101649
385,Ga0235676
386,Ga0456022
387,Ga0026245
388,Ga0075307
389,Ga0121402
390,Ga0256835
391,Ga0245821
392,Ga0456365
393,Ga0308395
394,Ga0467082
395,Ga0105569
396,Ga0209615
397,Ga0055496
398,Ga0496125
399,Ga0209611
400,Ga0005021
401,Ga0310759
402,Ga0497519
403,Ga0169857
404,Ga0494153
405,Ga0498836
406,Ga0453090
407,Ga0455918
408,Ga0224700
409,Ga0137377
410,Ga0394846
411,Ga0495444
412,Ga0181456
413,Ga0135174
414,Ga0026147
415,Ga0334831
416,Ga0451745
417,Ga0209994
418,Ga0026201
419,Ga0055498
420,Ga0104042
421,Ga0484752
422,Ga0501138
423,Ga0121165
424,Ga0111023
425,Ga0455873
426,Ga0137477
427,Ga0268318
428,Ga0208612
429,Ga0168738
430,Ga0499941
431,Ga0007228
432,Ga0102873
433,Ga0026335
434,Ga0121539
435,Ga0255363
436,Ga0118056
437,Ga0395729
438,Ga0373649
439,Ga0526457
440,Ga0007676
441,Ga0206127
442,Ga0122791
443,Ga0207706
444,Ga0118124
445,Ga0496890
446,Ga0497042
447,Ga0373963
448,Ga0120973
449,Ga0335317
450,Ga0208082
451,Ga0121366
452,Ga0122208
453,Ga0233373
454,Ga0235619
455,Ga0118376
456,Ga0394797
457,Ga0169464
458,Ga0187887
459,Ga0116817
460,Ga0506527
461,Ga0466999
462,Ga0194008
463,Ga0496978
464,Ga0054507
465,Ga0228646
466,Ga0007140
467,Ga0000793
468,Ga0427926
469,Ga0000796
470,Ga0500141
471,Ga0427998
472,Ga0395740
473,Ga0504709
474,Ga0026176
475,Ga0026124
476,Ga0211526
477,Ga0137319
478,Ga0451474
479,Ga0268331
480,Ga0208072
481,Ga0134346
482,Ga0302140
483,Ga0005033
484,Ga0119983
485,Ga0066660
486,Ga0483993
487,Ga0247044
488,Ga0302297
489,Ga0074263
490,Ga0118379
491,Ga0255775
492,Ga0499980
493,Ga0224562
494,Ga0255766
495,Ga0394850
496,Ga0528810
497,Ga0494789
498,Ga0207763
499,Ga0224714
500,Ga0209585
501,Ga0453966
502,Ga0026221
503,Ga0494128
504,Ga0394079
505,Ga0496933
506,Ga0209221
507,Ga0118143
508,Ga0243727
509,Ga0004145
510,Ga0247043
511,Ga0208545
512,Ga0010784
513,Ga0006044
514,Ga0373566
515,Ga0118629
516,Ga0120893
517,Ga0302165
518,Ga0002407
519,Ga0370501
520,Ga0482226
521,Ga0208304
522,Ga0116690
523,Ga0209850
524,Ga0190346
525,Ga0187872
526,Ga0209425
527,Ga0494725
528,Ga0497107
529,Ga0455866
530,Ga0118378
531,Ga0310073
532,Ga0453664
533,Ga0183664
534,Ga0187785
